,feature: 0,feature: 1,feature: 2,feature: 3,feature: 4,feature: 5,feature: 6,feature: 7,feature: 8,feature: 9,feature: 10,feature: 11,feature: 12,feature: 13,feature: 14,feature: 15,feature: 16,feature: 17,feature: 18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,12,33,4,54,1,5,1,34,0,0,39,15,0,12,1,17,4,0,0
1,84,98,75,98,0,0,67,94,21,2,1,21,78,80,62,61,74,43,66
2,0,11,5,0,61,71,4,0,0,57,1,28,38,41,0,25,12,41,3
3,0,32,28,16,12,0,30,29,0,0,24,5,0,4,9,16,5,17,40
4,4,2,22,20,54,21,28,9,29,15,0,23,6,32,0,12,6,51,1
5,0,0,2,0,0,16,14,0,0,33,30,5,31,0,0,0,7,0,20
6,58,6,58,22,74,77,55,24,63,70,71,71,72,10,0,16,68,31,5
7,53,52,0,47,9,0,0,35,38,4,15,0,3,0,50,1,14,3,28
8,0,0,0,0,6,3,0,0,40,44,17,41,29,40,39,46,0,1,0
9,27,0,0,13,0,0,0,9,0,0,0,0,0,0,1,0,25,0,0
